Customer ID,Total_Orders,Returned_Orders,Return_Rate
CUST-1018,5,3,0.6
CUST-1054,9,5,0.5555555555555556
CUST-1087,7,4,0.5714285714285714
CUST-1096,13,7,0.5384615384615384
CUST-1145,4,3,0.75
CUST-1166,6,4,0.6666666666666666
CUST-1175,7,6,0.8571428571428571
CUST-1186,3,2,0.6666666666666666
CUST-1201,6,4,0.6666666666666666
CUST-1224,5,4,0.8
CUST-1229,4,3,0.75
CUST-1241,10,7,0.7
CUST-1246,3,2,0.6666666666666666
CUST-1256,17,9,0.5294117647058824
CUST-1276,5,3,0.6
CUST-1301,12,7,0.5833333333333334
CUST-1313,7,5,0.7142857142857143
CUST-1317,9,5,0.5555555555555556
CUST-1324,8,5,0.625
CUST-1333,15,9,0.6
CUST-1362,3,2,0.6666666666666666
CUST-1367,5,4,0.8
CUST-1440,14,9,0.6428571428571429
CUST-1444,6,4,0.6666666666666666
CUST-1447,6,4,0.6666666666666666
CUST-1478,4,3,0.75
CUST-1538,8,5,0.625
CUST-1579,5,3,0.6
CUST-1584,5,3,0.6
CUST-1607,6,4,0.6666666666666666
CUST-1611,5,3,0.6
CUST-1613,5,4,0.8
CUST-1626,4,3,0.75
CUST-1634,7,4,0.5714285714285714
CUST-1642,7,4,0.5714285714285714
CUST-1666,19,12,0.631578947368421
CUST-1737,6,4,0.6666666666666666
CUST-1775,3,2,0.6666666666666666
CUST-1790,5,3,0.6
CUST-1794,6,4,0.6666666666666666
CUST-1848,4,3,0.75
CUST-1854,3,2,0.6666666666666666
CUST-1858,7,5,0.7142857142857143
CUST-1860,8,5,0.625
CUST-1886,4,3,0.75
CUST-1902,9,5,0.5555555555555556
CUST-1904,6,4,0.6666666666666666
CUST-1924,18,10,0.5555555555555556
CUST-1930,6,4,0.6666666666666666
CUST-1965,4,3,0.75
CUST-1969,7,4,0.5714285714285714
CUST-1987,4,3,0.75
CUST-1996,3,2,0.6666666666666666
CUST-2015,12,7,0.5833333333333334
CUST-2025,5,4,0.8
CUST-2031,5,3,0.6
CUST-2060,3,2,0.6666666666666666
CUST-2076,8,6,0.75
CUST-2120,5,4,0.8
CUST-2207,6,4,0.6666666666666666
CUST-2211,6,4,0.6666666666666666
CUST-2252,5,3,0.6
CUST-2257,5,3,0.6
CUST-2296,5,3,0.6
CUST-2297,12,7,0.5833333333333334
CUST-2313,5,3,0.6
CUST-2352,5,3,0.6
CUST-2387,12,8,0.6666666666666666
CUST-2393,5,3,0.6
CUST-2415,15,8,0.5333333333333333
CUST-2416,3,2,0.6666666666666666
CUST-2417,8,5,0.625
CUST-2424,3,2,0.6666666666666666
CUST-2459,7,4,0.5714285714285714
CUST-2474,5,3,0.6
CUST-2483,9,6,0.6666666666666666
CUST-2491,7,4,0.5714285714285714
CUST-2496,3,2,0.6666666666666666
CUST-2503,7,4,0.5714285714285714
CUST-2512,7,5,0.7142857142857143
CUST-2519,8,5,0.625
CUST-2545,12,7,0.5833333333333334
CUST-2557,9,5,0.5555555555555556
CUST-2560,11,6,0.5454545454545454
CUST-2570,3,2,0.6666666666666666
